time [s];velx [m/s];vely [m/s];velz [m/s];posx [m];posy [m];posz [m]
85.500039;-0.00673693;0;-0.0784239;1.909;0;6
86.000033;-0.0157755;0;-0.0649663;1.909;0;6
86.500034;-0.017096;0;-0.0261805;1.909;0;6
87.000021;0.0111313;0;-0.0328497;1.909;0;6
87.500001;-0.000921969;0;-0.0307718;1.909;0;6
88.000031;0.0196247;0;-0.0368767;1.909;0;6
88.500022;-0.00510249;0;-0.0525869;1.909;0;6
89.000046;-0.00687604;0;-0.0203316;1.909;0;6
89.500045;-0.0288568;0;-0.0251129;1.909;0;6
90.000001;0.0238078;0;-0.0658015;1.909;0;6
90.500037;-0.00389027;0;-0.0373606;1.909;0;6
91.000038;-0.0110702;0;-0.058844;1.909;0;6
91.500025;0.0127038;0;-0.0754326;1.909;0;6
92.000020;-0.00076172;0;-0.0590246;1.909;0;6
92.500023;0.0135091;0;-0.0181617;1.909;0;6
93.000012;-0.00664818;0;-0.0393575;1.909;0;6
93.500010;-0.0144393;0;-0.0563249;1.909;0;6
94.000031;-0.0520284;0;-0.0466563;1.909;0;6
94.500033;0.00772171;0;-0.0512498;1.909;0;6
95.000044;-0.0249203;0;-0.01922;1.909;0;6
95.500032;0.012483;0;-0.0194331;1.909;0;6
96.000044;0.0277864;0;-0.0211787;1.909;0;6
96.500023;0.00151414;0;-0.033016;1.909;0;6
97.000024;0.0106239;0;-0.0722331;1.909;0;6
97.500028;-0.000279345;0;-0.0514233;1.909;0;6
98.000033;0.0180621;0;-0.0801655;1.909;0;6
98.500026;-0.0351169;0;-0.0475495;1.909;0;6
99.000028;0.0229315;0;-0.0650485;1.909;0;6
99.500027;-0.0107675;0;-0.0678299;1.909;0;6
100.000027;0.0227422;0;-0.0744262;1.909;0;6
100.500015;-0.00408904;0;-0.0437133;1.909;0;6
101.000043;0.00503495;0;-0.026298;1.909;0;6
101.500047;0.00781609;0;-0.0416029;1.909;0;6
102.000016;-0.0254966;0;-0.00512915;1.909;0;6
102.500042;0.011096;0;0.00106857;1.909;0;6
103.000021;-0.0233573;0;-0.0305278;1.909;0;6
103.500043;0.00160972;0;-0.051851;1.909;0;6
104.000043;-0.00131399;0;-0.0783755;1.909;0;6
104.500040;0.00853998;0;-0.0343825;1.909;0;6
105.000014;0.00392145;0;-0.0362024;1.909;0;6
105.500021;0.0191848;0;-0.0547937;1.909;0;6
106.000022;-0.0123965;0;-0.0122738;1.909;0;6
106.500016;-0.0402824;0;-0.0238971;1.909;0;6
107.000031;0.00295064;0;-0.0353892;1.909;0;6
107.500034;-0.0445551;0;-0.0225513;1.909;0;6
108.000036;0.0237443;0;-0.0835994;1.909;0;6
108.500024;-0.0147197;0;-0.0447924;1.909;0;6
109.000015;-0.00477648;0;-0.086796;1.909;0;6
109.500020;0.000395843;0;-0.0586403;1.909;0;6
110.000022;0.00516158;0;-0.00417345;1.909;0;6
110.500047;0.00818302;0;-0.0635857;1.909;0;6
111.000043;-0.010379;0;-0.055453;1.909;0;6
111.500041;-0.013575;0;-0.00370412;1.909;0;6
112.000043;-0.0107178;0;-0.0483847;1.909;0;6
112.500021;-0.00490974;0;-0.0767309;1.909;0;6
