xloc,vavg
2.285000,-0.059722
2.301000,-0.058472
2.317000,-0.056890
2.333000,-0.055938
2.349000,-0.056113
2.365000,-0.057082
2.381000,-0.058215
2.397000,-0.058630
2.413000,-0.058108
2.429000,-0.056757
2.445000,-0.055561
2.461000,-0.054919
2.477000,-0.055299
2.493000,-0.056127
2.509000,-0.057362
2.525000,-0.058389
2.541000,-0.059038
2.557000,-0.058580
2.573000,-0.057158
2.589000,-0.055371
2.605000,-0.054206
2.621000,-0.054262
2.637000,-0.055154
2.653000,-0.056595
2.669000,-0.057946
2.685000,-0.059249
2.701000,-0.059652
2.717000,-0.059359
2.733000,-0.057989
2.749000,-0.056980
2.766000,-0.056502
2.782000,-0.057362
2.798000,-0.058543
2.814000,-0.060249
2.830000,-0.061699
2.846000,-0.062761
2.862000,-0.062913
2.878000,-0.062504
2.894000,-0.062390
2.910000,-0.062680
2.926000,-0.063775
2.942000,-0.064503
2.958000,-0.064882
2.974000,-0.064035
2.990000,-0.063478
3.006000,-0.062211
3.022000,-0.060754
3.038000,-0.057861
3.054000,-0.055707
3.070000,-0.054496
3.086000,-0.055241
3.102000,-0.056293
3.118000,-0.057825
3.134000,-0.058928
3.150000,-0.059962
3.166000,-0.060024
3.182000,-0.059158
3.198000,-0.057980
3.214000,-0.057153
3.230000,-0.057463
3.246000,-0.057848
3.263000,-0.058102
3.279000,-0.056941
3.295000,-0.055475
3.311000,-0.053335
3.327000,-0.051704
3.343000,-0.050026
3.359000,-0.048901
3.375000,-0.047803
3.391000,-0.046912
3.407000,-0.046065
3.423000,-0.045206
3.439000,-0.044504
3.455000,-0.043664
3.471000,-0.043087
3.487000,-0.042279
3.503000,-0.041767
3.519000,-0.040994
3.535000,-0.040522
3.551000,-0.039812
3.567000,-0.039338
3.583000,-0.038733
3.599000,-0.038243
3.615000,-0.037778
3.631000,-0.037275
3.647000,-0.036953
3.663000,-0.036482
3.679000,-0.036281
3.695000,-0.035859
3.711000,-0.035742
3.727000,-0.035433
3.743000,-0.035396
3.760000,-0.035212
3.776000,-0.035204
3.792000,-0.035183
3.808000,-0.035193
3.824000,-0.035221
3.840000,-0.035178
3.856000,-0.035230
3.872000,-0.035054
3.888000,-0.034979
3.904000,-0.034672
3.920000,-0.034572
3.936000,-0.034192
3.952000,-0.034012
3.968000,-0.033598
3.984000,-0.033363
