xloc,zvavg
-4.665000,-0.028036
-4.633000,-0.032768
-4.601000,-0.033964
-4.569000,-0.034387
-4.537000,-0.033738
-4.505000,-0.034358
-4.473000,-0.037986
-4.441000,-0.036563
-4.409000,-0.039210
-4.377000,-0.035222
-4.345000,-0.038521
-4.313000,-0.037057
-4.281000,-0.035613
-4.248000,-0.039043
-4.216000,-0.039969
-4.184000,-0.043781
-4.152000,-0.045150
-4.120000,-0.043584
-4.088000,-0.038919
-4.056000,-0.038478
-4.024000,-0.038781
-3.992000,-0.043563
-3.960000,-0.045950
-3.928000,-0.044771
-3.896000,-0.041546
-3.864000,-0.041079
-3.832000,-0.046611
-3.800000,-0.048012
-3.768000,-0.053286
-3.735000,-0.050705
-3.703000,-0.055288
-3.671000,-0.054386
-3.639000,-0.064360
-3.607000,-0.061950
-3.575000,-0.067301
-3.543000,-0.066227
-3.511000,-0.064165
-3.479000,-0.062008
-3.447000,-0.060815
-3.415000,-0.059076
-3.383000,-0.068834
-3.351000,-0.072277
-3.319000,-0.077260
-3.287000,-0.073736
-3.255000,-0.071206
-3.222000,-0.072855
-3.190000,-0.073086
-3.158000,-0.070568
-3.126000,-0.075566
-3.094000,-0.074846
-3.062000,-0.076913
-3.030000,-0.078583
-2.998000,-0.083396
-2.966000,-0.083785
-2.934000,-0.086691
-2.902000,-0.088723
-2.870000,-0.089294
-2.838000,-0.089443
-2.806000,-0.096406
-2.774000,-0.097200
-2.741000,-0.093360
-2.709000,-0.095751
-2.677000,-0.099875
-2.645000,-0.097919
-2.613000,-0.095224
-2.581000,-0.100918
-2.549000,-0.102687
-2.517000,-0.106602
-2.485000,-0.101864
-2.453000,-0.107961
-2.421000,-0.105468
-2.389000,-0.111431
-2.357000,-0.109599
-2.325000,-0.110804
-2.293000,-0.113941
-2.261000,-0.115246
-2.228000,-0.115946
-2.196000,-0.117052
-2.164000,-0.119677
-2.132000,-0.120453
-2.100000,-0.123771
-2.068000,-0.124784
-2.036000,-0.123043
-2.004000,-0.126536
-1.972000,-0.130033
-1.940000,-0.131797
-1.908000,-0.136626
-1.876000,-0.137855
-1.844000,-0.133854
-1.812000,-0.143476
-1.780000,-0.143787
-1.747000,-0.144321
-1.715000,-0.145534
-1.683000,-0.149576
-1.651000,-0.150869
-1.619000,-0.147705
-1.587000,-0.147961
-1.555000,-0.155738
-1.523000,-0.159506
-1.491000,-0.163941
-1.459000,-0.162703
-1.427000,-0.167412
-1.395000,-0.158811
-1.363000,-0.160605
-1.331000,-0.156145
-1.299000,-0.158937
-1.267000,-0.156868
-1.234000,-0.164671
-1.202000,-0.162933
-1.170000,-0.169574
-1.138000,-0.165574
-1.106000,-0.160096
-1.074000,-0.163670
-1.042000,-0.164345
-1.010000,-0.159736
-0.978000,-0.160739
-0.946000,-0.162889
-0.914000,-0.166904
-0.882000,-0.169594
-0.850000,-0.164032
-0.818000,-0.137474
-0.786000,-0.145744
-0.754000,-0.138087
-0.721000,-0.129179
-0.689000,-0.135187
-0.657000,-0.128688
-0.625000,-0.112751
-0.593000,-0.113570
-0.561000,-0.104564
-0.529000,-0.098844
-0.497000,-0.105632
-0.465000,-0.097025
-0.433000,-0.087981
-0.401000,-0.076107
-0.369000,-0.066232
-0.337000,-0.075476
-0.305000,-0.061005
-0.273000,-0.050573
-0.240000,-0.036918
-0.208000,-0.051953
-0.176000,0.177081
-0.144000,1.337198
-0.112000,1.342628
-0.080000,1.348082
-0.048000,1.344129
-0.016000,1.346832
0.016000,1.346730
0.048000,1.346131
0.080000,1.348271
0.112000,1.345165
0.144000,1.337908
0.176000,0.190715
0.208000,-0.045021
0.240000,-0.053439
0.273000,-0.059179
0.305000,-0.062543
0.337000,-0.062034
0.369000,-0.051090
0.401000,-0.073481
0.433000,-0.078295
0.465000,-0.074706
0.497000,-0.077319
0.529000,-0.077285
0.561000,-0.082328
0.593000,-0.092432
