xloc,vavg
5.852000,-0.005714
5.884000,-0.005385
5.916000,-0.005014
5.948000,-0.004827
5.980000,-0.004555
6.012000,-0.003356
6.044000,-0.001609
6.076000,-0.000395
6.108000,0.000333
6.140000,0.000934
6.172000,0.001488
6.204000,0.001929
6.236000,0.002117
6.269000,0.001747
6.301000,0.000591
6.333000,-0.001077
6.365000,-0.002558
6.397000,-0.003496
6.429000,-0.004026
6.461000,-0.004357
6.493000,-0.004632
6.525000,-0.004897
6.557000,-0.005162
6.589000,-0.005384
6.621000,-0.005604
6.653000,-0.005781
6.685000,-0.005920
6.717000,-0.006003
6.749000,-0.006085
6.782000,-0.006149
6.814000,-0.006203
6.846000,-0.006226
6.878000,-0.006234
6.910000,-0.006239
6.942000,-0.006258
6.974000,-0.006281
7.006000,-0.006308
7.038000,-0.006337
7.070000,-0.006472
7.102000,-0.006283
7.134000,-0.004157
7.166000,-0.002139
7.198000,-0.001834
7.230000,-0.001864
7.263000,-0.001873
7.295000,-0.001849
7.327000,-0.001769
7.359000,-0.001519
7.391000,-0.001345
7.423000,-0.001522
7.455000,-0.001761
7.487000,-0.001933
7.519000,-0.001882
7.551000,-0.001076
7.583000,-0.000171
7.615000,0.000019
7.647000,0.000001
7.679000,0.000000
7.711000,0.000000
7.743000,0.000000
7.776000,0.000000
7.808000,0.000000
7.840000,0.000000
7.872000,0.000000
7.904000,0.000000
7.936000,0.000000
7.968000,0.000000
